URL,Label,Page_Title,Meta_Description,HTML_DOM_Tags,Price,Product_Category,Rating
https://white.info/info/young,other,Central Collection - Shop Now,Explore our wide range of usually products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://brooks.com/product/late-person-human,product,Buy Nothing Online - Best Price,Get the best deals on artist at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,34.74,Clothing,3.5
https://george.com/product/amount-support-wait,product,Buy Voice Online - Best Price,Get the best deals on eight at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,738.37,Home,3.2
https://mayo.info/category/feeling,category,Social Collection - Shop Now,Explore our wide range of always products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://figueroa.com/product/magazine-road-close,product,Buy Most Online - Best Price,Get the best deals on herself at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,39.47,Electronics,3.5
https://freeman-frederick.com/info/federal,other,Arrive Collection - Shop Now,Explore our wide range of land products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://gregory-hoffman.org/product/main-billion,product,Buy Trade Online - Best Price,Get the best deals on enter at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,565.07,Home,3.8
https://white.com/category/oil,category,When Collection - Shop Now,Explore our wide range of exist products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://page.com/info/effort,other,Happen Collection - Shop Now,Explore our wide range of station products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://leach.com/category/already,category,Whose Collection - Shop Now,Explore our wide range of weight products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://hart.com/product/painting-player,product,Buy Matter Online - Best Price,Get the best deals on couple at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,760.46,Electronics,4.4
https://stevens.biz/category/vote,category,Large Collection - Shop Now,Explore our wide range of many products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://miller.org/category/look,category,Yet Collection - Shop Now,Explore our wide range of program products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://richardson-hunter.com/product/every-set-attorney,product,Buy Hand Online - Best Price,Get the best deals on officer at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,222.95,Clothing,3.2
https://franklin-jacobs.org/category/method,category,Enough Collection - Shop Now,Explore our wide range of better products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://mata.com/product/loss-large-free,product,Buy Strong Online - Best Price,Get the best deals on church at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,365.03,Clothing,4.2
https://fields-vaughn.biz/product/pick-every-take,product,Buy Focus Online - Best Price,Get the best deals on same at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,731.7,Home,3.2
https://harris-gardner.com/category/seem,category,Fill Collection - Shop Now,Explore our wide range of close products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://ross-pratt.info/product/life-fire-option,product,Buy Economic Online - Best Price,Get the best deals on rule at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,555.97,Home,4.8
https://hart.org/category/marriage,category,Economic Collection - Shop Now,Explore our wide range of central products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://kelly.com/info/home,other,Society Collection - Shop Now,Explore our wide range of should products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://ward-maddox.com/product/school-black-weight,product,Buy Short Online - Best Price,Get the best deals on lay at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,706.82,Books,4.3
https://daniels-mills.biz/category/treat,category,Rest Collection - Shop Now,Explore our wide range of professor products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://larsen.com/product/same-grow-him,product,Buy Your Online - Best Price,Get the best deals on just at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,855.91,Books,3.8
https://anderson.com/category/that,category,Season Collection - Shop Now,Explore our wide range of feeling products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://martin.com/info/look,other,North Collection - Shop Now,Explore our wide range of young products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://cummings-smith.com/category/lose,category,Military Collection - Shop Now,Explore our wide range of probably products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://andrade.org/product/card-type-task,product,Buy Energy Online - Best Price,Get the best deals on trial at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,376.11,Electronics,4.3
https://smith.com/info/improve,other,Already Collection - Shop Now,Explore our wide range of give products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://allen.com/info/manager,other,Send Collection - Shop Now,Explore our wide range of region products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://contreras.net/info/sometimes,other,North Collection - Shop Now,Explore our wide range of investment products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://lee.com/product/visit-century-gun,product,Buy Left Online - Best Price,Get the best deals on pick at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,612.43,Electronics,4.1
https://castaneda.org/product/explain-meeting,product,Buy Study Online - Best Price,Get the best deals on her at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,171.61,Toys,3.5
https://sharp.com/info/power,other,Soon Collection - Shop Now,Explore our wide range of call products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://rodriguez-bass.com/info/around,other,Letter Collection - Shop Now,Explore our wide range of treatment products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://gonzalez-cook.com/info/wall,other,International Collection - Shop Now,Explore our wide range of my products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
https://keller-hughes.com/product/weight-business,product,Buy Resource Online - Best Price,Get the best deals on wall at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,687.08,Books,3.5
https://reid.com/product/discuss-kind-hot,product,Buy Very Online - Best Price,Get the best deals on short at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,806.19,Toys,3.5
https://johnston-young.com/product/five-whether,product,Buy Hit Online - Best Price,Get the best deals on color at unbeatable prices.,<h1>Product Name</h1><p>Price: $XX</p>,913.09,Home,4.8
https://diaz.com/category/box,category,Business Collection - Shop Now,Explore our wide range of happen products.,<h1>Category</h1><ul><li>Item</li></ul>,,,
